label,database,sha256,tables,events_count,input_events_count,input_detector_events_count,latency_offset_samples_count,latency_offset_updates_count,conflicts_count,event_devices,event_start,event_end,event_duration_hours,input_start,input_end,run_count,run_statuses
2.15.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.15.1\collected.db,c356e0d91a565938d7c8036001c116a7e6afe9015b9c261449dbe04fef21fc29,"conflicts,events,input_events,simulation_runs",7574994,627240,0,0,0,0,25,2026-04-16T08:30:05.400000,2026-04-21T08:00:43,119.51,2026-02-16T09:00:01.400000,2026-02-17T08:00:00,1,completed:1
2.18.1,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1\collected.db,4dc81bf7949dd050dc1838dafe106d1769b5e0c1fe275ba9a5c735744d1e7005,"conflicts,events,input_detector_events,input_events,latency_offset_samples,latency_offset_updates,simulation_runs",8019167,627240,1985416,707458,6577,0,25,2026-05-26T08:32:18.900000,2026-06-02T08:00:23.400000,167.468,2026-02-16T09:00:01.400000,2026-02-17T08:00:00,1,completed:1
2.18.1_parameter_modified,\\scdata2\signalshar\Data_Analysis\Python\ATC-Signal-Replay\firmware_validation\results\2.18.1_trailing\collected.db,029540cb6929549a495212d529fe5c55c44a2b61ad7042f9c17ec79f539e09d3,"conflicts,events,input_detector_events,input_events,latency_offset_samples,latency_offset_updates,simulation_runs",7993042,627240,1985416,704291,6552,0,25,2026-06-10T08:33:47.200000,2026-06-16T08:00:23.400000,143.443,2026-02-16T09:00:01.400000,2026-02-17T08:00:00,1,completed:1
